INFO 2024-11-21 22:11:17,863 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-21 22:11:17,864 autoreload Waiting for apps ready_event.
DEBUG 2024-11-21 22:11:17,874 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-21 22:11:17,885 autoreload Watching dir C:\Users\evgen\Diplom_Project\diplom_project\templates with glob **/*.
DEBUG 2024-11-21 22:11:17,885 autoreload Watching dir C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django_celery_beat\templates with glob **/*.
DEBUG 2024-11-21 22:11:17,885 autoreload Watching dir C:\Users\evgen\Diplom_Project\diplom_project\locale with glob **/*.mo.
DEBUG 2024-11-21 22:11:17,886 autoreload Watching dir C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django_celery_beat\locale with glob **/*.mo.
DEBUG 2024-11-21 22:11:17,886 autoreload Watching dir C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\sms\locale with glob **/*.mo.
DEBUG 2024-11-21 22:11:17,886 autoreload Watching dir C:\Users\evgen\Diplom_Project\diplom_project\gvk_site\locale with glob **/*.mo.
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\celery\utils\imports.py first seen with mtime 1731940340.3928187
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\celery\local.py first seen with mtime 1731940340.3401022
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Program Files\Python312\Lib\concurrent\__init__.py first seen with mtime 1727730220.0
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1731732142.360196
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Program Files\Python312\Lib\linecache.py first seen with mtime 1727730220.0
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\cron_descriptor\CasingTypeEnum.py first seen with mtime 1731940410.48537
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\billiard\__init__.py first seen with mtime 1731940335.2754278
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Program Files\Python312\Lib\bisect.py first seen with mtime 1727730220.0
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1731732142.7087464
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1731732142.5687811
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\amqp\connection.py first seen with mtime 1731940337.4016593
DEBUG 2024-11-21 22:11:18,111 autoreload File C:\Users\evgen\Diplom_Project\.venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1731732142.6209016
